ts,open,high,low,close,volume
2026-01-07,302.5,304.30999755859375,296.3500061035156,296.7300109863281,2833300
2026-01-08,295.0,303.6700134277344,295.0,302.7200012207031,3343300
2026-01-09,302.6099853515625,307.0,302.0,304.2200012207031,2718800
2026-01-12,302.6199951171875,312.3299865722656,299.9599914550781,312.17999267578125,3895200
2026-01-13,311.6000061035156,312.80999755859375,301.8699951171875,303.1600036621094,4507800
2026-01-14,303.5,309.19000244140625,301.5,309.0299987792969,3779000
2026-01-15,309.0,311.8800048828125,297.0400085449219,297.95001220703125,4932500
2026-01-16,301.0,307.45001220703125,300.7799987792969,305.6700134277344,6199600
2026-01-20,301.3500061035156,301.6000061035156,290.1600036621094,291.3500061035156,7275500
2026-01-21,292.760009765625,297.6700134277344,292.510009765625,297.5400085449219,5185000
2026-01-22,299.4200134277344,300.92999267578125,293.5299987792969,294.6700134277344,3670200
2026-01-23,294.07000732421875,294.3399963378906,289.7900085449219,292.44000244140625,3298400
2026-01-26,293.1600036621094,296.82000732421875,293.1400146484375,296.3299865722656,3726900
2026-01-27,297.1600036621094,297.3299865722656,293.2699890136719,293.8599853515625,2954900
2026-01-28,294.1700134277344,295.95001220703125,291.260009765625,294.1600036621094,5790300
2026-01-29,317.8599853515625,319.8999938964844,303.4700012207031,309.239990234375,10124900
2026-01-30,307.6000061035156,307.7799987792969,299.7300109863281,306.70001220703125,5940700
2026-02-02,307.510009765625,316.6400146484375,306.4100036621094,314.7300109863281,4581200
2026-02-03,312.3999938964844,312.9800109863281,283.8500061035156,294.30999755859375,11466500
2026-02-04,291.4100036621094,291.4100036621094,278.9599914550781,289.04998779296875,8708000
2026-02-05,286.1000061035156,291.80999755859375,285.1000061035156,289.8900146484375,5532800
2026-02-06,292.5,299.8900146484375,290.6600036621094,298.92999267578125,3744300
2026-02-09,295.9100036621094,297.7200012207031,291.4200134277344,296.3399963378906,4627800
2026-02-10,294.989990234375,297.6099853515625,290.3299865722656,291.760009765625,3837300
2026-02-11,292.3399963378906,293.5,272.3599853515625,272.80999755859375,7628200
2026-02-12,270.29998779296875,271.29998779296875,257.2200012207031,259.5199890136719,12565400
2026-02-13,260.0,264.6600036621094,256.6400146484375,262.3800048828125,6842600
2026-02-17,259.20001220703125,260.70001220703125,254.64999389648438,258.30999755859375,4929700
2026-02-18,258.6400146484375,261.1099853515625,256.25,260.7900085449219,3949200
2026-02-19,256.0,258.2799987792969,253.50999450683594,256.2799987792969,4948700
2026-02-20,255.1999969482422,259.0400085449219,253.8000030517578,257.1600036621094,4708600
2026-02-23,254.3699951171875,255.19000244140625,220.72000122070312,223.35000610351562,19522900
2026-02-24,227.8000030517578,236.58999633789062,223.6300048828125,229.32000732421875,13379800
2026-02-25,233.22000122070312,239.5500030517578,231.22000122070312,237.5399932861328,8569700
2026-02-26,239.7100067138672,247.49000549316406,238.9499969482422,242.00999450683594,7343100
2026-02-27,238.07000732421875,240.2100067138672,234.57000732421875,240.2100067138672,6642200
2026-03-02,235.6999969482422,240.77999877929688,233.77999877929688,239.3699951171875,6220300
2026-03-03,236.35000610351562,246.08999633789062,234.2899932861328,245.27999877929688,6960400
2026-03-04,245.75,250.85000610351562,244.9600067138672,250.05999755859375,6085000
2026-03-05,249.32000732421875,260.3800048828125,249.0,256.54998779296875,9894600
2026-03-06,256.44000244140625,259.3999938964844,252.2100067138672,258.8500061035156,6234400
2026-03-09,255.3800048828125,258.0799865722656,251.57000732421875,253.3300018310547,6126600
2026-03-10,253.25999450683594,253.44000244140625,246.5500030517578,250.1999969482422,4938000
2026-03-11,250.00999450683594,253.72000122070312,247.1999969482422,248.8699951171875,4008500
2026-03-12,247.10000610351562,250.0500030517578,245.63999938964844,247.67999267578125,5547700
2026-03-13,247.6699981689453,249.72000122070312,244.7100067138672,246.27999877929688,4338400
2026-03-16,247.8699951171875,252.1999969482422,246.10000610351562,249.25,5674200
2026-03-17,250.50999450683594,256.3900146484375,250.0,256.1099853515625,5840100
2026-03-18,254.16000366210938,258.2799987792969,250.16000366210938,251.60000610351562,5177000
2026-03-19,249.42999267578125,252.19000244140625,248.25,250.3699951171875,4249500
2026-03-20,249.0,250.27999877929688,241.77000427246094,241.77000427246094,11314100
2026-03-23,246.5,251.35000610351562,244.7100067138672,248.44000244140625,4972000
2026-03-24,246.4499969482422,247.11000061035156,238.0,240.58999633789062,4151500
2026-03-25,243.60000610351562,246.19000244140625,238.0,241.38999938964844,4207900
2026-03-26,240.55999755859375,246.6699981689453,239.8000030517578,241.6699981689453,3606800
2026-03-27,238.85000610351562,239.44000244140625,233.75,236.33999633789062,4853700
2026-03-30,237.8000030517578,240.2100067138672,236.1300048828125,237.25,3882600
2026-03-31,240.27000427246094,242.85000610351562,236.3800048828125,242.38999938964844,4750300
2026-04-01,242.1199951171875,246.25999450683594,240.13999938964844,243.13999938964844,4228700
2026-04-02,243.0,248.2100067138672,241.49000549316406,248.16000366210938,3350900
2026-04-06,248.13999938964844,248.89999389648438,244.74000549316406,246.74000549316406,3376000
2026-04-07,245.32000732421875,245.75999450683594,241.10000610351562,245.07000732421875,2356100
2026-04-08,248.6300048828125,250.0,240.8000030517578,241.74000549316406,4771500
2026-04-09,240.8800048828125,241.74000549316406,233.75999450683594,237.17999267578125,5078600
2026-04-10,239.19000244140625,239.27000427246094,230.50999450683594,230.75999450683594,5869400
2026-04-13,233.6300048828125,238.07000732421875,231.6999969482422,237.82000732421875,5349600
2026-04-14,238.75,241.5399932861328,238.1199951171875,240.27000427246094,3777300
2026-04-15,242.25,246.05999755859375,240.99000549316406,244.8000030517578,3879500
2026-04-16,248.75,251.22000122070312,246.1300048828125,251.0,4817500
2026-04-17,254.6699981689453,255.64999389648438,251.0399932861328,253.47000122070312,5671500
2026-04-20,255.0,258.5,252.55999755859375,253.7100067138672,5157700
2026-04-21,254.0,258.0899963378906,251.8699951171875,255.67999267578125,5584900
2026-04-22,254.50999450683594,257.5400085449219,247.2100067138672,251.86000061035156,12190200
2026-04-23,232.27000427246094,232.91000366210938,221.72999572753906,231.0800018310547,22297800
2026-04-24,231.92999267578125,232.8000030517578,225.0,231.97999572753906,9816900
2026-04-27,229.9499969482422,231.32000732421875,227.1199951171875,228.0500030517578,8060700
2026-04-28,230.5,233.55999755859375,228.4600067138672,233.0399932861328,5160100
