ts,open,high,low,close,volume
2025-12-22,183.50999450683594,183.75,179.8699951171875,180.67999267578125,3069900
2025-12-23,180.7899932861328,181.13999938964844,178.8800048828125,180.61000061035156,1563500
2025-12-24,181.0800018310547,182.4199981689453,180.11000061035156,181.67999267578125,621200
2025-12-26,180.4600067138672,181.77999877929688,180.16000366210938,181.13999938964844,918100
2025-12-29,180.2100067138672,181.86000061035156,179.92999267578125,180.72000122070312,1840800
2025-12-30,180.72000122070312,181.6999969482422,180.22999572753906,181.4499969482422,1267100
2025-12-31,181.25,181.82000732421875,180.0500030517578,180.13999938964844,1350000
2026-01-02,180.58999633789062,182.77000427246094,179.02000427246094,182.74000549316406,2566400
2026-01-05,182.89999389648438,186.77999877929688,182.89999389648438,186.67999267578125,2343100
2026-01-06,185.8800048828125,189.5800018310547,185.3699951171875,187.52999877929688,2843700
2026-01-07,187.41000366210938,187.64999389648438,185.74000549316406,186.99000549316406,2047800
2026-01-08,186.99000549316406,191.22000122070312,186.4199981689453,189.27000427246094,2385600
2026-01-09,189.27000427246094,192.25999450683594,188.9199981689453,191.44000244140625,2659400
2026-01-12,191.0,192.49000549316406,188.94000244140625,192.25999450683594,2071000
2026-01-13,192.22999572753906,193.49000549316406,192.10000610351562,193.22999572753906,1768100
2026-01-14,192.49000549316406,193.7899932861328,190.27000427246094,191.8300018310547,2262000
2026-01-15,192.57000732421875,194.52000427246094,191.27999877929688,193.7899932861328,1667300
2026-01-16,194.1999969482422,194.9199981689453,191.77999877929688,192.36000061035156,3269700
2026-01-20,190.5399932861328,192.19000244140625,188.91000366210938,189.69000244140625,2304100
2026-01-21,190.94000244140625,192.61000061035156,189.8699951171875,192.32000732421875,1964000
2026-01-22,192.92999267578125,193.9600067138672,186.4600067138672,187.00999450683594,3219800
2026-01-23,186.9199981689453,188.85000610351562,186.1199951171875,188.5500030517578,1976900
2026-01-26,187.61000061035156,189.39999389648438,186.72000122070312,187.57000732421875,2828700
2026-01-27,187.66000366210938,188.49000549316406,184.74000549316406,186.0,3270000
2026-01-28,185.97000122070312,186.88999938964844,184.6999969482422,186.0399932861328,1753600
2026-01-29,185.27999877929688,187.11000061035156,184.69000244140625,186.5,2759800
2026-01-30,185.66000366210938,188.7100067138672,185.66000366210938,188.64999389648438,2062600
2026-02-02,188.64999389648438,191.25999450683594,187.8000030517578,190.11000061035156,3444500
2026-02-03,189.19000244140625,193.5800018310547,188.77000427246094,191.1199951171875,2291400
2026-02-04,191.8300018310547,193.88999938964844,188.0500030517578,189.27000427246094,2764000
2026-02-05,189.3699951171875,191.10000610351562,187.99000549316406,189.22999572753906,2626300
2026-02-06,190.61000061035156,191.85000610351562,189.72000122070312,190.74000549316406,3185300
2026-02-09,190.66000366210938,194.75999450683594,190.00999450683594,194.5,1902200
2026-02-10,193.86000061035156,194.82000732421875,191.94000244140625,192.3300018310547,2601600
2026-02-11,193.64999389648438,193.64999389648438,191.22000122070312,192.5399932861328,2115700
2026-02-12,194.5399932861328,197.17999267578125,193.66000366210938,194.85000610351562,1942700
2026-02-13,194.52999877929688,197.24000549316406,193.32000732421875,196.5399932861328,1445700
2026-02-17,198.1300048828125,198.97999572753906,195.19000244140625,198.2100067138672,2528900
2026-02-18,197.69000244140625,200.60000610351562,197.16000366210938,200.3800048828125,2205100
2026-02-19,199.42999267578125,200.57000732421875,198.3800048828125,200.3800048828125,1574600
2026-02-20,199.39999389648438,203.30999755859375,198.88999938964844,201.4499969482422,1987900
2026-02-23,202.0500030517578,202.77999877929688,198.27000427246094,201.88999938964844,1795400
2026-02-24,202.10000610351562,202.30999755859375,199.07000732421875,200.5500030517578,1883500
2026-02-25,199.92999267578125,204.85000610351562,199.92999267578125,201.52999877929688,2203800
2026-02-26,202.91000366210938,204.72000122070312,202.14999389648438,203.5,2641300
2026-02-27,202.64999389648438,206.39999389648438,201.27999877929688,205.63999938964844,4422700
2026-03-02,203.08999633789062,204.25,200.52999877929688,202.3000030517578,3048600
2026-03-03,198.75,199.3300018310547,194.07000732421875,197.63999938964844,4988600
2026-03-04,214.75,216.8000030517578,206.5399932861328,213.52000427246094,7735700
2026-03-05,211.49000549316406,214.8800048828125,211.2100067138672,214.8300018310547,3595600
2026-03-06,213.00999450683594,213.63999938964844,209.72999572753906,211.75,2410500
2026-03-09,209.97999572753906,212.27999877929688,204.25,212.14999389648438,3408600
2026-03-10,211.0500030517578,216.58999633789062,209.3699951171875,212.92999267578125,2562000
2026-03-11,212.6999969482422,214.11000061035156,211.5500030517578,212.8699951171875,2131500
2026-03-12,210.42999267578125,213.1699981689453,209.39999389648438,209.83999633789062,2283700
2026-03-13,209.60000610351562,210.75,206.00999450683594,206.27999877929688,2583200
2026-03-16,206.82000732421875,210.30999755859375,206.82000732421875,207.9600067138672,2073000
2026-03-17,209.33999633789062,210.3800048828125,208.52000427246094,209.19000244140625,2120000
2026-03-18,208.1999969482422,210.9499969482422,207.02000427246094,207.22000122070312,2491900
2026-03-19,207.11000061035156,211.4600067138672,206.6300048828125,210.66000366210938,2143000
2026-03-20,209.5399932861328,211.36000061035156,208.0800018310547,211.19000244140625,4013500
2026-03-23,213.4199981689453,215.4499969482422,212.9600067138672,213.08999633789062,2067300
2026-03-24,211.89999389648438,216.10000610351562,210.52999877929688,215.8000030517578,2711800
2026-03-25,215.6199951171875,216.5,212.13999938964844,216.02999877929688,3764800
2026-03-26,216.3300018310547,217.50999450683594,214.16000366210938,214.3000030517578,2927300
2026-03-27,213.5800018310547,213.99000549316406,210.8300018310547,211.69000244140625,2571900
2026-03-30,211.69000244140625,212.61000061035156,207.47999572753906,208.7899932861328,3009600
2026-03-31,211.5,217.49000549316406,211.00999450683594,216.6300048828125,2893200
2026-04-01,217.74000549316406,222.02999877929688,216.47000122070312,219.9499969482422,2612400
2026-04-02,218.16000366210938,221.16000366210938,217.25999450683594,219.97999572753906,2193100
2026-04-06,219.19000244140625,221.3699951171875,218.8300018310547,221.2100067138672,1982000
2026-04-07,219.99000549316406,220.61000061035156,215.1300048828125,216.33999633789062,2692800
2026-04-08,219.1999969482422,224.60000610351562,219.1999969482422,224.47000122070312,3039000
2026-04-09,223.6999969482422,226.63999938964844,223.6300048828125,224.91000366210938,1641200
2026-04-10,224.39999389648438,224.83999633789062,219.69000244140625,221.16000366210938,2978000
2026-04-13,221.57000732421875,221.9600067138672,219.60000610351562,220.9499969482422,1843500
2026-04-14,220.35000610351562,223.60000610351562,219.0800018310547,223.2899932861328,1790900
2026-04-15,222.9499969482422,225.2100067138672,221.88999938964844,224.14999389648438,1701600
2026-04-16,223.35000610351562,224.91000366210938,220.3300018310547,221.97000122070312,1514000
2026-04-17,224.1199951171875,228.7100067138672,223.0,227.82000732421875,2909700
2026-04-20,228.0,230.44000244140625,227.5,228.25,1809400
2026-04-21,228.5500030517578,229.67999267578125,224.61000061035156,225.58999633789062,1997000
2026-04-22,227.14999389648438,228.61000061035156,224.67999267578125,226.33999633789062,1986700
2026-04-23,228.25999450683594,229.07000732421875,225.4600067138672,226.9199981689453,1615100
2026-04-24,226.02999877929688,227.0399932861328,224.22000122070312,226.3699951171875,1042000
2026-04-27,226.3300018310547,227.36000061035156,224.92999267578125,226.1699981689453,1321800
2026-04-28,227.67999267578125,227.94000244140625,223.82000732421875,225.52000427246094,1277700
2026-04-29,225.05999755859375,227.0800018310547,224.74000549316406,225.0800018310547,2020500
